time,index,mass,x,y,z,vx,vy,vz,fx,fy,fz,ke,pe
0,0,4.07788,336.2852,-133.0103,190.7115,4.404915,7.098449,-2.997998,-1.365203,0.4633055,-0.8049424,160.6261,-377.755
0,1,16.60756,-78.24023,200.6306,-310.1617,-3.203139,-7.364282,-3.886182,0.2733365,-4.441276,4.183551,660.9406,-1617.215
0,2,5.037752,120.82,39.38245,79.44835,-2.820483,-5.737662,6.183074,-7.284926,-2.333591,-4.725395,199.2589,-939.1646
0,3,2.023762,237.3363,-154.2941,-0.1722815,3.081048,4.911752,6.676132,-0.9958042,0.4082964,-0.08037727,79.11788,-254.4287
0,4,10.02531,387.3489,190.0608,-209.0036,1.406347,4.954132,7.235771,-2.414163,-1.198,1.333457,395.3863,-788.494
0,5,1.776341,-391.0058,182.2612,-20.15004,3.668149,7.36566,-3.364087,0.5316367,-0.214349,-0.005387653,70.18796,-150.6519
0,6,10.75703,-45.3241,376.629,237.7679,-2.486939,-4.816792,7.046507,-0.5859767,-2.990076,-1.886729,425.1156,-949.9177
0,7,1.884194,136.9727,-16.89464,304.1024,-2.600119,-8.476295,0.6116976,-0.3723027,0.02029476,-0.7371255,74.40905,-198.8797
0,8,3.973845,-228.8438,50.71824,314.2936,-4.236918,-7.533163,-1.975745,1.072833,-0.1198962,-1.251857,156.1792,-365.213
0,9,3.981432,155.9433,68.71554,-253.9799,-6.922797,-2.746523,-4.84879,-1.136749,-0.6273329,1.811238,157.2253,-458.8297
0,10,18.48365,-351.6833,-310.5504,13.50887,5.674694,-6.451741,-2.314832,4.633823,2.928275,-0.1259113,731.8192,-1449.002
0,11,8.143121,-163.5054,55.09475,-307.9064,-4.916942,6.321175,3.83206,1.855715,-0.3297281,2.872159,320.9133,-831.2445
0,12,1.996149,-278.9109,98.44245,70.02629,3.387865,4.30392,7.000802,0.9632525,-0.280798,-0.2263507,78.86044,-218.6684
0,13,10.78045,-282.4345,-359.5584,79.07487,-6.893134,5.588654,0.4955705,1.725301,2.554516,-0.9578762,425.7951,-874.9045
0,14,6.782244,257.7271,-247.3527,-39.78017,6.007343,6.418828,-0.7718795,-1.725515,0.6098273,2.120258,264.1186,-768.5358
0,15,9.76358,88.82451,326.61,-44.22283,-4.747656,2.189044,7.179055,-0.05231472,-3.98567,1.237842,385.0316,-1025.598
0,16,8.244548,-275.06,293.4588,183.0857,6.394537,6.196635,-0.4744875,2.197137,-1.260368,-1.317448,327.7766,-711.4803
0,17,10.45779,118.0172,421.0616,103.1696,8.368645,-2.704115,1.187816,-1.070193,-3.223837,-0.8053539,411.814,-870.2264
0,18,3.753527,-119.5428,434.0427,133.4373,-8.503678,-2.568328,0.5028307,0.20086,-1.262546,-0.1237227,148.5678,-318.3519
0,19,8.028174,41.90968,191.071,196.6256,7.193871,-4.474195,2.628361,-0.7955888,-3.167873,-3.702284,315.8224,-969.3112
0,20,6.165298,5.784128,-80.75644,-98.51276,7.09472,-3.470697,4.166527,-0.4173191,8.998112,11.48081,245.8127,-1328.933
0,21,6.142827,-356.808,205.7773,-151.6528,2.800892,-1.395295,-8.315176,1.738223,-0.7730882,0.637252,242.4389,-515.6263
0,22,2.490583,4.736232,-72.92641,377.1899,6.965985,5.463558,0.9126022,0.08779142,0.23209,-0.828352,98.63736,-238.3768
0,23,14.72415,-273.5412,385.7361,89.22201,1.784288,3.061344,-8.135017,3.285071,-3.731453,-0.4252733,579.6456,-1177.991
0,24,3.457316,256.2033,86.00671,-368.8292,6.081932,3.84618,5.197919,-0.630316,-0.2702019,0.8973883,136.2206,-293.8697
0,25,9.631653,89.77764,-332.9373,-129.4495,-8.518754,-2.438609,0.6729146,-1.122084,3.907212,2.483218,380.3,-1008.423
0,26,15.16283,-40.83926,-5.041421,-4.84461,-129.1292,-14.07556,-16.75781,-4874.5,-266.1435,-838.7027,130046.2,-28051.08
0,27,3.128718,302.2263,-213.668,-322.0779,-7.025732,-2.780954,-4.648808,-0.5677984,0.4240056,0.7254394,123.1245,-254.3489
0,28,14.95856,257.8104,-277.4207,-4.85048,-4.457502,-4.098022,6.396817,-3.28138,7.034292,-1.404006,580.2602,-1575.964
0,29,14.64955,42.627,189.1504,81.53512,-8.745847,1.434543,0.653155,-2.970139,-12.55889,-5.133946,578.4696,-2121.655
0,30,13.29657,154.2232,-233.0422,-22.51874,7.176792,4.648206,2.381754,-3.95978,6.197427,-0.3906592,523.7847,-1682.346
0,31,17.65064,359.8153,-307.8455,-147.2104,-2.860836,0.7718387,-8.365641,-4.203993,3.730602,2.004145,695.118,-1416.967
0,32,11.34226,-41.60617,-106.3899,-151.4817,-3.440743,7.260995,-3.770542,3.265291,7.371112,10.70886,446.759,-1837.674
0,33,1.7706,-174.88,127.2746,327.7993,-6.365132,-6.077926,-1.124041,0.3304625,-0.1970685,-0.5628532,69.69043,-165.9109
0,34,0.9967886,-187.833,-108.4794,199.5033,2.755931,6.169787,5.774734,0.3740011,0.211482,-0.3627352,39.37762,-111.3461
0,35,3.11114,-94.26196,-282.638,366.6809,-6.474456,-3.85198,-4.694976,0.2461286,0.4960563,-0.7014405,122.5776,-244.9136
0,36,10.25651,218.36,167.6411,-314.9531,6.110433,2.78541,5.804451,-1.789724,-1.742321,2.588985,404.0426,-908.9161
0,37,7.314002,-63.92096,-39.93377,486.247,6.906598,5.455048,1.303827,0.5593361,0.2925574,-2.043539,289.4831,-562.514
0,38,3.230579,227.9937,258.5657,-99.85187,-2.768654,4.96731,6.826019,-0.8263062,-0.9783459,0.4333189,127.5015,-324.4149
0,39,9.078547,1.123932,-458.1518,-19.34097,6.146325,-0.1838746,6.385799,0.04837511,3.180285,-0.4118488,356.7395,-777.7448
0,40,6.036524,-193.7281,294.8614,-98.3545,7.44305,3.830507,-2.95264,1.095672,-1.85817,0.4925779,237.8084,-597.5179
0,41,13.48068,149.9573,331.9306,-18.68049,7.981985,-3.753207,-0.7599136,-3.41239,-5.177316,-0.1466379,528.2819,-1333.467
0,42,6.428303,-163.6854,139.7628,-371.0871,6.194617,6.481238,-0.1989825,1.852248,0.2594435,2.145182,258.4799,-588.1697
0,43,6.991237,-185.8336,46.50071,250.4458,4.568798,7.395327,1.908965,2.187598,-0.2812306,-2.418596,276.8841,-749.408
0,44,9.636159,330.3448,207.617,-95.10727,4.849937,-5.587837,4.918488,-2.774346,-1.837472,0.8712615,380.3263,-879.3867
0,45,2.46917,209.2214,-174.8478,-411.8781,-5.921977,-6.608239,-0.1367626,-0.2588442,0.2631557,0.6374647,97.23263,-195.6574
