Time Stamp,available_memory_MB,app_pss_MB,battery_level_percentage,battery_temperature_celcius,battery_current_now_milliamps,sensor_temperature_celcius,power_current,power_level_state,power_voltage,power_wattage,cpu_level,gpu_level,cpu_frequency_MHz,gpu_frequency_MHz,mem_frequency_MHz,minimum_vsyncs,extra_latency_mode,average_frame_rate,display_refresh_rate,average_prediction_milliseconds,screen_tear_count,early_frame_count,stale_frame_count,maximum_rotational_speed_degrees_per_second,foveation_level,eye_buffer_width,eye_buffer_height,app_gpu_time_microseconds,timewarp_gpu_time_microseconds,guardian_gpu_time_microseconds,cpu_utilization_percentage,cpu_utilization_percentage_core0,cpu_utilization_percentage_core1,cpu_utilization_percentage_core2,cpu_utilization_percentage_core3,cpu_utilization_percentage_core4,cpu_utilization_percentage_core5,cpu_utilization_percentage_core6,cpu_utilization_percentage_core7,gpu_utilization_percentage,spacewarp_motion_vector_type,spacewarped_frames_per_second,app_vss_MB,app_rss_MB,app_dalvik_pss_MB,app_private_dirty_MB,app_private_clean_MB,app_uss_MB,stale_frames_consecutive,screen_fill_rate_left_eye,screen_fill_rate_right_eye,screen_fill_rate,screen_red_intensity_left_eye,screen_red_intensity_right_eye,screen_red_intensity,screen_green_intensity_left_eye,screen_green_intensity_right_eye,screen_green_intensity,screen_blue_intensity_left_eye,screen_blue_intensity_right_eye,screen_blue_intensity,screen_color_intensity_left_eye,screen_color_intensity_right_eye,screen_color_intensity,screen_power_consumption,passthrough_brightness,hands_input_extra_delay,eyes_input_extra_delay,avg_vertices_per_frame,avg_fill_percentage,avg_inst_per_frag,avg_inst_per_vert,avg_textures_per_frag,percent_time_shading_frags,percent_time_shading_verts,percent_time_compute,percent_vertex_fetch_stall,percent_texture_fetch_stall,percent_texture_l1_miss,percent_texture_l2_miss,percent_texture_nearest_filtered,percent_texture_linear_filtered,percent_texture_anisotropic_filtered,vrshell_average_frame_rate,vrshell_gpu_time_microseconds,vrshell_and_guardian_gpu_time_microseconds,render_scale
12001,2228,317,80,20,9999,0,996,0,3931,3915,4,3,1478,490,1555,0,0,72,72,32,0,0,0,0,0,1435,1584,7323,1249,0,27,36,48,19,29,10,27,14,9,62,0,0,11255,394,0,265,45,311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99
13001,2228,317,80,20,9999,0,994,0,3936,3912,4,3,1478,490,1555,0,0,72,72,32,0,0,0,0,0,1435,1584,4799,1262,0,18,25,42,42,23,18,14,5,13,45,0,0,11255,394,0,265,45,311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99
14001,2228,317,80,20,9999,0,992,0,3936,3904,4,3,1478,490,1353,0,0,72,72,31,0,0,0,0,0,1435,1584,7224,1249,0,25,40,19,41,23,5,14,25,17,62,0,0,11255,394,0,265,45,311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99
15001,2228,317,80,20,9999,0,1008,0,3936,3967,4,3,1478,490,1555,0,0,72,72,32,0,0,0,0,0,1435,1584,7280,1248,0,19,42,34,37,38,14,19,18,13,62,0,0,11255,394,0,265,45,311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99
16001,2228,317,80,20,9999,0,1117,0,3935,4395,4,3,1478,490,1555,0,0,72,72,32,0,0,0,0,0,1435,1584,7315,1247,0,18,43,37,29,30,14,14,18,9,63,0,0,11255,394,0,265,45,311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99
17001,2228,317,80,20,9999,0,1030,0,3935,4053,4,3,1478,490,1555,0,0,72,72,32,0,0,0,0,0,1435,1584,7029,1247,0,19,43,30,38,30,10,19,9,9,62,0,0,11255,394,0,265,45,311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99
18108,2231,449,80,20,9999,0,996,0,3935,3919,4,3,1478,490,1555,0,0,72,72,32,0,0,0,0,0,1435,1584,7288,1249,0,19,21,27,39,31,19,10,9,17,62,0,0,11314,526,0,396,46,442,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99
19001,2231,449,80,20,9999,0,979,0,3935,3852,4,3,1478,490,1555,0,0,72,72,32,0,0,0,0,0,1435,1584,7243,1254,0,19,43,37,37,26,19,10,13,9,62,0,0,11314,526,0,396,46,442,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99
20001,2231,449,80,20,9999,0,1086,0,3935,4273,4,3,1478,490,1353,0,0,72,72,32,0,0,0,0,0,1435,1584,7180,1251,0,19,39,38,14,31,18,19,0,5,62,0,0,11314,526,0,396,46,442,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99
21001,2231,449,80,20,9999,0,1002,0,3935,3942,4,3,1478,490,1555,0,0,72,72,31,0,0,0,0,0,1435,1584,7240,1249,0,14,30,43,38,33,14,14,0,13,62,0,0,11314,526,0,396,46,442,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99
22001,2231,449,80,20,9999,0,1010,0,3935,3974,4,3,1478,490,1555,0,0,72,72,32,0,0,0,0,0,1435,1584,6907,1248,0,19,37,46,37,22,19,14,9,17,61,0,0,11314,526,0,396,46,442,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99
23001,2231,449,80,20,9999,0,1010,0,3935,3974,4,3,1478,490,1555,0,0,72,72,31,0,0,0,0,0,1435,1584,7056,1246,0,21,41,37,37,33,21,14,9,13,61,0,0,11314,526,0,396,46,442,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99
