time,index,mass,x,y,z,vx,vy,vz,fx,fy,fz
0,0,8.495504,123.9194,244.5048,-233.1157,9.244952,-0.00500353,4.911206,-1.05071,-2.125376,2.068475
0,1,7.554014,250.2949,-13.53752,86.37907,-3.979915,-0.0008157367,11.52847,-4.520439,-0.3081043,-1.367875
0,2,8.087185,-63.92883,363.1149,84.82967,-8.163701,-0.006104216,-6.129469,0.5444495,-2.468296,-0.3019873
0,3,12.66994,-25.99859,410.267,-13.34971,4.414293,-0.007445147,-8.738969,0.1250202,-4.71648,0.7037876
0,4,2.347791,53.34219,-69.58076,440.2885,-9.305307,0.0002570076,1.124785,-0.1920756,0.03017002,-0.747863
0,5,14.22834,-344.0022,-203.2446,-102.0758,2.782988,0.006667847,-9.375108,4.531449,4.743618,0.7267908
0,6,4.299889,361.0361,-33.6931,-28.00403,0.8032321,5.822287E-05,10.38197,-1.719673,0.01251759,0.1681767
0,7,12.1761,-345.8955,-149.1658,-105.7368,2.936733,-0.0006287241,-9.601068,4.382389,-0.3827703,0.8233075
0,8,4.000659,-180.9024,-125.2512,-259.9491,8.831915,0.003144102,-6.145892,0.7795376,0.6289241,1.312947
0,9,6.241845,-270.8281,-192.3775,-337.6718,7.119811,0.0007748305,-5.708001,1.456981,0.2418186,1.122844
0,10,3.536359,-130.5739,-122.0008,-323.0188,9.581244,0.002445732,-3.871926,0.2473738,0.4324494,1.263983
0,11,7.636741,-280.9148,-291.7566,-274.1365,6.271655,0.004125985,-6.425947,1.222766,1.575454,1.291075
0,12,25.58839,-64.11731,145.7225,-472.6538,8.811136,-0.001696202,-1.19389,0.5648983,-2.170154,5.96259
0,13,12.18137,-210.0804,226.7378,175.4752,-6.753244,-0.005356892,-8.082171,3.212899,-3.262713,-2.10702
0,14,22.1712,36.8998,-223.3035,-58.71129,11.01895,0.01307253,6.873798,-2.185092,14.49168,5.150592
0,15,5.365946,344.548,-209.1207,-99.28748,2.697901,0.00278219,9.366455,-1.624172,0.7464542,0.6205105
0,16,22.61925,112.646,-130.7537,-363.4374,9.455555,0.00177728,2.9323,-2.533466,2.010037,7.110174
0,17,15.52353,280.834,209.8922,-140.7165,4.577774,-0.004734349,9.132998,-3.859606,-3.67469,1.433706
0,18,4.71292,323.7025,-30.21106,177.384,-4.960869,-0.0009973289,9.047988,-1.69076,-0.2350166,-0.908512
0,19,16.18159,-61.27786,40.94209,468.0326,-9.045522,-0.001022684,-1.186685,0.5380397,-0.8274332,-4.738136
0,20,14.77165,-81.26261,-246.5473,387.0561,-9.004115,0.005254435,-1.890652,-0.7599968,3.880834,-3.561684
0,21,4.644242,-257.514,164.8848,340.7531,-7.402853,-0.00215524,-5.596709,0.8579827,-0.500473,-1.042163
0,22,5.783348,-137.1088,-457.4878,45.21143,-2.848128,0.005958639,-8.607643,0.5595399,1.723044,-0.2507225
0,23,5.106169,-267.3922,-214.292,175.6306,-5.554925,0.004963095,-8.456567,1.563882,1.26712,-0.4338643
0,24,0.8158057,167.3364,-251.7988,101.6823,-5.768875,0.005777027,9.505051,-0.2349391,0.2356466,-0.1427369
0,25,4.362454,292.4929,120.7361,324.3805,-6.929114,-0.002056822,6.245922,-0.8489569,-0.4486396,-0.8494126
0,26,5.021964,-122.8297,-40.37899,-475.8321,8.659006,0.000113308,-2.232781,0.2328631,0.02845143,1.392984
0,27,3.115291,387.7847,158.9923,-259.121,4.968148,-0.00235816,7.439664,-0.7610143,-0.3673178,0.5456948
0,28,2.848239,43.80719,389.0641,-244.3369,9.097556,-0.006361719,1.626181,-0.3111389,-0.9059848,0.2392388
0,29,11.94949,318.2511,-195.4291,225.4388,-5.497363,0.002269893,7.756805,-3.221863,1.356203,-2.515329
0,30,2.516384,130.6343,-403.2646,-232.6282,7.873608,0.004522524,4.419912,-0.4326306,0.5690205,0.4403907
0,31,6.895454,-24.01637,-232.3708,-334.1696,9.808793,0.003766421,-0.7047391,0.05061511,1.298559,2.063365
0,32,19.77549,67.95555,-261.457,242.6027,-10.03464,0.006490274,2.813882,-1.834656,6.417418,-5.299902
0,33,3.664092,146.9877,-204.4517,420.0651,-8.470269,0.002088438,2.960901,-0.352308,0.3826116,-1.126098
0,34,12.37862,-98.16216,-334.2956,-93.11617,7.18888,0.006933698,-7.596835,2.573566,4.291481,0.4451272
0,35,18.24668,321.6571,108.5277,-184.9671,5.033979,-0.00166458,8.755829,-4.963774,-1.518653,3.036786
0,36,3.716313,-427.0032,-166.9798,-153.8249,3.06449,0.001761803,-8.49411,1.379714,0.3273707,0.484876
0,37,8.370399,-42.02989,403.8268,154.6946,-9.197703,-0.003907343,-2.488694,-0.5170926,-1.635301,-0.7482407
0,38,14.54996,46.23744,-410.2913,-220.853,8.982773,0.005399758,1.876778,-0.6544335,3.928314,2.616118
0,39,11.11072,32.17184,-400.279,78.69808,-9.078205,0.007712771,3.733771,-0.1110162,4.28472,-1.007553
0,40,4.694213,456.9384,-153.3552,123.0479,-2.317909,0.0007788543,8.597014,-1.413814,0.1828054,-0.2494594
0,41,12.62173,35.10812,137.0065,407.8258,-9.523658,-0.002667339,0.8186278,-0.84381,-1.683321,-3.528973
0,42,23.3346,-105.115,-127.7633,358.5503,-9.589322,0.0004054105,-2.8129,1.915522,0.4730046,-7.839467
0,43,8.246694,-285.804,-315.1111,-90.10677,2.861954,0.005764613,-9.082793,1.813158,2.37695,0.4280741
0,44,2.805787,-37.40251,-69.69865,238.9342,-12.36701,0.001482345,-1.936039,0.198434,0.2079572,-1.825793
0,45,3.252507,-224.9084,-87.75117,-229.6272,7.773034,0.000850347,-7.611533,0.9990128,0.138288,0.9852308
0,46,16.58746,-225.605,-202.4,289.8328,-7.652485,0.006299044,-5.960693,2.225654,5.224258,-6.985823
0,47,18.92587,196.8931,-200.1114,304.5413,-8.195227,0.003032674,5.296791,-3.921345,2.8698,-4.910724
0,48,1.897979,-225.4268,-431.3433,1.232449,-0.05316116,0.005334108,-9.001232,0.3072472,0.5062014,-0.01791438
0,49,17.02391,-67.20586,461.3851,180.0213,-8.323497,-0.006311273,-3.101388,0.7306984,-5.372127,-2.118935
0,50,7.287665,-208.4905,365.8475,158.5409,-5.668444,-0.005158739,-7.449464,1.262518,-1.879758,-0.5931978
0,51,4.171674,-44.31741,234.4071,303.8844,-9.998516,-0.004485595,-1.457422,-0.07504104,-0.9356221,-1.261017
0,52,2.665086,-177.8387,-32.11296,146.9934,-8.289447,0.001954712,-10.0291,1.458016,0.2604738,-1.329983
0,53,13.75181,154.6003,-212.914,-8.393847,0.6738023,0.009105924,12.21938,-6.212468,6.261148,-0.3037539
0,54,3.779983,-5.676636,-24.77996,57.02157,-25.01287,0.07879154,-2.454627,3.039657,14.89154,-34.86485
0,55,12.66455,263.5023,362.5976,-195.1432,5.346282,-0.004251671,7.216465,-1.758257,-2.692274,1.194464
0,56,11.2952,-127.5401,-218.7435,415.2901,-8.604421,0.002222046,-2.647479,2.222388,1.254923,-4.327771
0,57,4.532744,-350.8567,-202.417,-238.1721,5.146924,0.002460899,-7.577655,1.148601,0.5577313,0.9008493
0,58,21.63893,340.3203,-300.5171,100.4366,-2.60706,0.004094127,8.832713,-5.425125,4.429626,-1.048842
0,59,7.138467,-242.8181,-222.1965,-365.4645,7.457548,0.003726884,-4.952373,0.5381541,1.330212,2.097998
0,60,14.20145,307.0778,40.40372,-366.2021,6.946793,-0.0004510045,5.827822,-2.383374,-0.3202458,3.04173
0,61,8.208287,72.51757,-152.4739,245.9811,-11.02759,0.00341277,3.252244,-1.31137,1.40065,-3.529651
0,62,7.658689,-191.0226,-106.8002,-406.9513,8.363132,0.001061534,-3.922724,0.8331348,0.4064978,2.333939
0,63,19.69296,-456.9427,-35.64073,171.983,-3.158452,0.0001359705,-8.400744,6.053778,0.1338831,-2.035572
0,64,6.303282,400.5751,73.37563,-165.0903,3.606275,-0.0002573728,8.758307,-2.252442,-0.08111467,0.495135
0,65,6.341423,-29.98236,-64.28981,-116.0081,16.48463,0.01895831,-4.270712,2.940976,6.011134,11.8414
0,66,5.433303,81.69014,-388.3683,-51.31277,5.294868,0.00918666,8.396539,-0.6989849,2.495695,0.379939
0,67,11.82088,-241.5421,-179.7716,258.7569,-7.281225,-0.0008909134,-6.795819,4.715805,-0.5265691,0.4555711
0,68,4.570025,-381.0607,280.3965,-125.4119,2.806027,-0.00320929,-8.526057,0.8716421,-0.7333269,0.2828532
0,69,3.301868,-358.8628,27.98757,141.8246,-3.706739,-0.004549619,-9.390262,1.456263,-0.751112,-0.5038719
0,70,16.10906,-341.2516,-68.60667,-152.867,4.165436,-0.001107076,-9.293184,5.541034,-0.8916976,2.990957
0,71,9.115129,173.0119,-130.2117,-159.1339,8.201283,0.004806715,8.915466,-3.907743,2.190691,3.677481
