time,index,mass,x,y,z,vx,vy,vz,fx,fy,fz
48.02,0,12.95717,316.215,44.76597,-110.2949,-2.020511,-5.436402,10.96822,-5.604877,-3.056028,-4.09757
48.02,1,4.728724,158.8311,-136.7361,-145.003,3.384169,-7.056557,9.173961,-1.521001,2.387866,1.814689
48.02,2,4.51902,-199.9044,1.362826,39.56217,-0.5083244,-1.331059,-17.92279,1.362991,-1.327059,1.528306
48.02,3,1.346757,-252.6927,27.05619,195.1498,-1.60831,11.95346,-7.583398,0.9241891,-0.347079,-0.6201703
48.02,4,17.06014,113.9593,-18.53663,266.6858,-13.56254,1.155057,0.9481437,-11.2315,4.905087,-9.654796
48.02,5,3.925488,-188.3891,-26.51767,41.85433,-1.379921,3.331478,-8.331452,1.687425,2.005691,0.641789
48.02,6,5.838874,-217.6322,5.829042,192.7655,-6.485071,8.050321,-13.67215,4.069221,-0.07704109,-2.571869
48.02,7,7.15765,-280.2261,57.27409,-15.29063,7.900896,-9.620516,-8.427847,5.099541,-3.094555,1.656883
48.02,8,5.325542,-112.8451,14.70337,191.3991,-1.101089,8.063779,-14.22293,7.280292,7.143039,-9.851184
48.02,9,16.57991,-75.8707,-136.4442,37.9975,10.51371,-1.665732,-12.01004,10.469,22.55931,2.257548
48.02,10,4.753221,221.5634,-141.7068,281.3056,-5.392499,13.75522,5.4895,-2.13625,1.93087,-1.7579
48.02,11,12.37187,222.8429,-20.43253,-235.5552,5.650023,9.96718,12.18973,-5.002925,5.666417,4.238799
48.02,12,0.8807061,-203.2526,14.8653,84.27961,-4.232472,-2.445964,-9.263897,0.2007276,-0.2989183,-0.093115
48.02,13,6.12802,346.1967,152.1146,26.48157,-0.5677986,-11.55471,7.492793,-2.69713,-1.583291,-0.03416583
48.02,14,5.611283,100.0096,47.37292,280.0265,-9.104228,3.674426,-2.324026,-18.9538,19.05113,-16.50783
48.02,15,22.54846,-235.485,-12.07372,52.87524,5.757507,-11.7009,-10.16474,16.88539,4.844345,2.453169
48.02,16,9.419421,253.3168,18.85604,-137.0352,2.460472,2.157752,12.69983,-4.993446,-0.01740436,2.74388
48.02,17,4.722157,-295.1939,30.05198,196.9555,-3.786116,-15.68921,-7.025647,3.075689,-0.9348039,-1.883108
48.02,18,10.34658,71.13223,13.5105,-267.1678,12.69411,1.187157,5.997587,-0.744437,-1.374412,3.792557
48.02,19,1.017343,-222.0879,50.76645,21.79489,9.318088,-2.420488,-7.115712,0.5654289,-0.5417655,0.3199599
48.02,20,3.402215,26.43937,21.74116,-294.2022,11.31481,8.185019,3.067523,0.1462301,-0.4608491,0.9355968
48.02,21,1.296931,176.4593,14.44269,206.5628,-16.28254,-4.608662,4.415733,-0.6022072,-0.2169165,0.1604464
48.02,22,7.611433,-114.4884,-96.9096,54.17096,5.658219,1.198285,-7.220612,8.747938,7.155687,-0.3831047
48.02,23,2.110941,-323.9196,-72.02064,131.8035,-0.3172097,17.03814,-3.723179,2.125611,0.6110124,-0.6924979
48.02,24,1.789927,-337.1021,-121.4063,-117.466,0.569244,12.96887,-2.738926,0.8721011,0.4394505,0.2454864
48.02,25,1.586232,123.4386,172.5223,-269.6677,7.50636,-11.47865,3.233782,-0.3344705,-0.6484683,0.4395452
48.02,26,7.460653,-5.144913,-128.5826,-237.6599,10.55342,-6.246567,0.9419315,1.60846,1.741962,4.059906
48.02,27,3.422169,-80.87441,-16.66139,-195.9385,6.505637,15.21365,3.932956,0.426229,0.2299706,1.515922
48.02,28,1.748,101.6829,-98.90984,186.7115,-13.87683,0.3993792,2.820609,-0.9545634,1.556607,-1.236816
48.02,29,3.095731,-183.3992,8.148049,213.887,-4.410441,-12.28495,-13.20634,1.18562,-0.1241281,-2.070456
48.02,30,5.537731,-308.7544,-94.99498,20.25727,3.202028,9.780279,-12.18598,3.532353,2.334808,-0.02257296
48.02,31,9.674302,75.67044,-4.2116,267.2691,-24.65822,3.303523,-0.974272,4.221275,3.047979,-7.679394
48.02,32,5.271261,-258.381,-21.62131,-41.10961,11.77947,12.14534,-6.991302,-0.5827962,-1.441914,0.568433
48.02,33,2.465435,-211.6028,38.89528,230.978,-3.539745,-3.24389,-12.80219,8.762827,2.552517,0.3550889
48.02,34,4.15131,120.7784,60.56563,251.6127,-16.95061,4.647505,8.891931,-3.448797,-4.925728,-0.7045486
48.02,35,1.060396,231.8627,14.91362,-161.4361,8.30438,0.7966428,8.647959,-0.3657773,0.004659784,0.5663248
48.02,36,5.149655,-19.44944,36.17826,-327.3531,13.80196,-8.584013,1.978956,1.212268,-1.075331,3.023487
48.02,37,10.14828,-251.0564,116.9364,-193.2644,3.896945,-12.73146,-4.139666,3.531728,-2.712543,2.806767
