time,index,mass,x,y,z,vx,vy,vz,fx,fy,fz
0,0,18.59614,-0.5272271,-15.6044,-432.3447,9.545976,0.001895198,-0.009458086,-1.103924,1.762169,5.950992
0,1,2.44694,-55.77225,65.9022,126.6277,-14.68651,-0.005566591,-6.438023,1.003028,-0.6810558,-0.7918222
0,2,9.623613,-255.1338,315.1412,259.4449,-6.453243,-0.003841923,-6.345962,1.563368,-1.848659,-1.477857
0,3,6.068585,-365.586,-83.40504,138.6353,-3.518836,0.001635724,-9.28777,2.235499,0.4963265,-0.995271
0,4,18.9095,-429.3269,184.0843,-147.7815,2.92151,-0.002172561,-8.482682,4.653738,-2.054103,1.250454
0,5,7.775899,165.4438,-298.1414,58.60555,-3.556231,0.008481044,10.06697,-1.438817,3.297387,-0.2873425
0,6,6.287832,-262.9871,350.3774,-89.60269,3.026331,-0.004943283,-8.889668,1.187634,-1.554127,0.4138973
0,7,15.79165,146.9255,-168.121,231.5726,-9.3472,0.005155626,5.931991,-2.43898,4.070794,-5.635398
0,8,4.213135,336.1098,-167.691,169.8774,-4.413296,0.003805303,8.728961,-1.290286,0.8016129,-0.4388833
0,9,3.478257,281.6548,-223.0879,109.0107,-3.702001,0.006138023,9.558118,-1.652717,1.067481,-0.2766399
0,10,14.98024,-89.62671,-58.68301,232.2527,-11.58319,0.003787581,-4.472687,4.015755,2.836942,-10.42796
0,11,24.75752,-187.2142,152.3493,130.8887,-6.867177,-0.007683075,-9.82089,12.14187,-9.510695,-8.007401
0,12,1.873861,-106.0226,86.97569,30.7622,-4.682511,-0.02508789,-16.08067,3.176709,-2.350561,-0.7340519
0,13,7.263211,149.0156,51.89959,262.9348,-9.866254,-0.002133978,5.58888,-1.733074,-0.7749767,-3.557993
0,14,5.947391,-307.4817,-31.28603,126.6953,-4.136587,0.0001143755,-10.04744,2.763498,0.03401178,-1.271609
0,15,0.8790471,200.9424,-314.2665,-245.342,7.271141,0.004556683,5.953693,-0.1330665,0.200277,0.1376475
0,16,9.852794,46.29938,-311.3766,339.0336,-9.147161,0.004655767,1.249851,-0.2529651,2.293616,-2.102705
0,17,3.08432,13.48348,169.4321,430.7383,-9.224632,-0.003004999,0.2879204,-0.179157,-0.4634189,-0.7337775
0,18,9.661967,230.7945,0.2006451,182.3872,-7.179634,-0.0003439358,9.082545,-3.901829,-0.1661548,-3.433416
0,19,15.03922,310.5401,-199.1985,-129.5021,3.864897,0.003693493,9.269273,-4.453547,2.777363,2.105461
0,20,4.10097,-23.018,166.1677,125.8554,-13.49115,-0.01727948,-2.451364,0.5765342,-3.543131,-2.727518
0,21,2.66439,142.9332,-236.6321,371.6296,-8.612609,0.003548614,3.311133,-0.2939595,0.4727446,-0.68111
0,22,8.259155,-171.0203,36.90702,49.88224,-4.119144,-0.006377878,-14.13288,10.98085,-2.633794,-2.559486
0,23,28.1043,-183.0785,-198.7329,-113.5116,6.110722,0.007923164,-9.858277,12.68933,11.13375,9.289329
0,24,14.64918,-212.2157,86.84246,-372.9516,8.251326,-0.000486133,-4.690982,3.450225,-0.3560726,4.621597
0,25,19.87379,371.497,-90.42326,254.259,-5.235044,0.003338241,7.646024,-4.076674,3.317176,-3.618355
0,26,5.976396,-153.3365,255.8221,372.9793,-8.404028,-0.003171383,-3.455836,0.5629839,-0.9476721,-1.340653
0,27,2.337817,160.813,-256.0582,-90.77397,5.500635,0.008477669,9.729162,-0.5789699,0.9909621,0.3644147
0,28,5.955332,-73.06596,-372.7645,292.1688,-8.800374,0.00480922,-2.198475,0.3268223,1.432025,-0.9004197
0,29,7.103395,205.8269,-190.6726,252.1477,-7.922701,0.005420372,6.464034,-2.24604,1.925152,-2.258461
0,30,3.537122,-93.74416,-147.0055,-217.0296,10.92471,0.005915991,-4.720015,0.6262218,1.046279,1.829946
0,31,1.187827,-100.663,-419.7913,-180.0763,8.011589,0.005814873,-4.485181,0.06008903,0.3453532,0.1253819
0,32,2.959317,19.0477,179.8032,100.2793,-13.56211,-0.0197349,2.604233,-0.2133959,-2.920092,-1.421379
0,33,7.321844,98.96496,165.6266,-7.393401,1.092354,-0.01865049,14.24998,-4.889372,-6.827797,0.7002229
0,34,12.4022,-123.5958,-75.56763,29.21796,-3.767046,0.01985974,-15.89435,19.73364,12.31523,-4.514881
0,35,9.096449,-87.03154,82.92609,-384.254,9.650935,-0.001540068,-2.18512,-0.02035916,-0.7004576,2.671665
0,36,16.54257,201.8096,220.8112,185.9287,-7.168976,-0.005865249,7.782587,-4.553288,-4.851315,-3.960545
0,37,10.36053,-20.93066,-286.8229,-340.2924,9.390593,0.004698679,-0.577846,0.4336278,2.434041,2.53839
0,38,12.714,90.06906,-249.4228,-354.1213,9.148402,0.003663438,2.326538,-1.597153,2.328847,2.593582
0,39,1.836454,-200.7292,18.50316,3.312212,-0.2266559,-0.001893762,-13.98098,2.163816,-0.1738904,0.2101185
0,40,11.60652,-116.8168,132.1992,-95.83178,8.88131,-0.01437771,-10.84055,7.303111,-8.34376,6.511423
0,41,5.910639,-172.209,92.22999,-303.3511,9.090558,-0.002588679,-5.160992,0.6595255,-0.7650372,1.641225
0,42,2.708666,20.04483,-231.9556,315.8996,-10.00335,0.003899159,0.6355191,0.05433031,0.5280759,-0.7600601
0,43,2.191767,-43.9459,-71.41103,483.1034,-8.930322,0.00133762,-0.8144696,0.1060734,0.1465876,-0.5870286
0,44,13.04519,-129.3398,-215.179,77.59538,-6.31252,0.01228234,-10.50045,4.321595,8.011274,-3.95729
0,45,8.689598,-343.2336,-326.4818,106.0047,-2.659965,0.003939283,-8.611579,1.736874,1.711539,-0.537114
0,46,3.299906,61.93085,-263.7053,-404.893,8.894142,0.004045948,1.363576,-0.01304138,0.6675623,1.179588
0,47,7.494341,-259.1477,165.3383,-359.6405,7.409111,-0.003847783,-5.335866,1.644293,-1.44183,1.657717
0,48,16.22737,184.2359,349.4268,-35.48798,1.892407,-0.006623282,9.790251,-3.254293,-5.373921,0.8338864
0,49,7.355721,-256.3911,-61.82285,70.48879,-3.183676,0.003279418,-11.58877,4.711558,1.206124,-1.128699
0,50,13.91426,69.06007,232.4702,-11.01413,2.04872,-0.01601694,12.58037,-3.087264,-11.1432,1.239855
0,51,10.49387,236.831,-214.8143,108.9918,-4.513916,0.006158261,9.816569,-2.714311,3.2312,-1.056906
0,52,14.47716,-93.55452,383.9421,17.76698,-1.880924,-0.007872393,-9.805084,1.785081,-5.698496,-0.03173745
0,53,10.15581,108.2885,94.09521,-68.95707,8.464033,-0.01869245,13.27117,-11.5981,-9.491849,7.842659
0,54,0.8309518,79.83889,-96.32183,-286.3633,10.81979,0.00295643,3.017598,-0.128479,0.1228325,0.3723028
0,55,10.92939,219.0937,223.9421,-370.2394,7.758987,-0.002544233,4.592811,-1.611844,-1.390345,2.175469
0,56,18.19246,16.0224,22.14454,54.47816,-24.39622,-0.07653887,7.206153,-54.35925,-69.62153,-171.8202
0,57,2.057378,251.2453,-34.78466,353.6622,-7.760763,0.0002248794,5.509805,-0.3348785,0.02313311,-0.6513944
0,58,15.69525,-59.48983,73.74206,146.3441,-13.93306,-0.01327416,-5.665772,7.946618,-10.41706,-22.51483
0,59,12.73535,259.8622,5.889062,88.36183,-3.86033,-0.0005283068,11.34796,-7.618777,-0.3364085,-1.376377
0,60,14.72535,69.66438,148.8846,-316.5316,10.26828,-0.003699972,2.260378,-1.609073,-2.724169,5.133344
