time,index,mass,x,y,z,vx,vy,vz,fx,fy,fz,ke,pe
0,0,3.659418,326.0839,-172.2274,-24.90808,0.6139131,0.04034021,8.870791,-1.452075,0.3690543,0.2175338,144.6741,-373.9836
0,1,2.982369,94.84791,-379.6545,19.647,-1.530736,0.1553103,8.699243,-0.3564295,1.157981,-0.4231766,116.3782,-309.2166
0,2,5.67647,-29.04611,-210.8295,426.6769,-8.862726,0.04667543,-0.6357925,0.0306812,0.6623791,-1.508296,224.0909,-451.3875
0,3,4.663947,142.6548,92.76509,193.728,-7.254223,-0.1094503,5.174198,-2.121057,-1.276176,-2.296175,185.1775,-600.2309
0,4,4.456165,-66.48705,421.3751,-113.0847,7.527687,-0.1290992,-4.65523,-0.04020999,-1.438218,0.5653327,174.5789,-405.8689
0,5,8.8468,201.8343,-201.3018,161.8199,-5.578551,0.1084419,6.894871,-2.631464,2.398411,-2.419406,347.9944,-978.7439
0,6,7.874548,10.91856,127.4161,184.6689,-8.911319,-0.2273278,0.4261889,-1.139193,-4.475259,-5.291797,313.5839,-1140.946
0,7,15.60604,466.0834,-163.9842,-33.34229,0.5916811,0.02842618,8.862516,-4.265406,1.109051,0.3722006,615.6201,-1203.827
0,8,20.60919,36.14514,-362.0497,-58.89456,7.530866,0.3839741,3.949948,-13.2669,19.78349,-16.34,746.7068,-2323.321
0,9,15.56313,-338.2899,-21.31116,-131.0791,3.296965,0.08670366,-8.19409,6.580534,3.373452,4.573382,607.1225,-1705.2
0,10,3.205746,27.12721,217.8245,214.0291,-8.839564,-0.1564682,1.103953,-0.3927155,-1.253993,-1.266561,127.2378,-372.8418
0,11,4.341995,0.2977893,-140.0299,-370.0219,8.887287,0.05336683,0.07492209,0.07536938,0.5792964,1.661738,171.4922,-417.6163
0,12,5.127757,179.7044,-283.2777,-193.3918,6.507959,0.09515661,6.053306,-1.005587,1.21985,1.234494,202.5595,-502.2204
0,13,13.82886,-331.8121,-275.6387,-144.2128,3.558173,0.1125565,-8.121689,3.399155,3.891321,1.981354,543.7168,-1248.958
0,14,9.100782,-294.7096,107.6376,-198.0055,4.952224,-0.1619711,-7.368625,1.673953,-3.68516,1.182656,358.7864,-977.8823
0,15,14.08039,-149.1699,132.1057,52.25837,-2.845448,-0.2558742,-8.428105,9.805775,-9.007025,-4.049325,557.5485,-2168.721
0,16,6.139304,-309.2673,84.26879,-209.1554,5.116554,0.04920623,-7.252566,3.248678,0.75523,2.313323,241.8311,-663.213
0,17,5.394466,-59.11316,462.5862,-7.503961,0.5753726,-0.1444895,-8.836435,-0.2335699,-1.94861,0.3297714,211.5562,-480.6107
0,18,3.511189,-385.5974,-73.57198,205.6,-4.129386,0.02236541,-7.869961,0.9879124,0.196323,-0.5957575,138.672,-312.6787
0,19,8.010261,-11.14284,17.4505,272.5037,-8.854031,-0.001219652,-0.5374919,0.4647997,-0.02442432,-5.808742,315.1347,-997.4089
0,20,33.71732,-275.7273,312.9594,13.74736,-0.4599589,-0.1449451,-8.825338,8.075196,-12.2179,3.198321,1316.984,-3361.206
0,21,4.922455,-308.6387,-371.2965,-74.78869,2.067012,0.1098636,-8.635207,0.8890237,1.351997,0.2282808,194.0713,-418.5308
0,22,8.826258,-180.7058,320.1545,-203.9289,6.629775,-0.1056513,-5.893354,1.332699,-2.331263,1.818675,347.2987,-825.1188
0,23,7.516779,83.34528,-14.73166,-428.8455,8.705502,0.002167321,1.762814,-0.4803969,0.04072818,2.621737,296.5117,-654.1237
0,24,10.1441,-277.7996,25.07336,-241.886,5.86233,-0.01559338,-6.622029,2.413945,-0.3954518,3.328308,396.7277,-1078.262
0,25,6.592513,345.9121,113.5544,-2.867361,0.01559699,-0.0539827,8.865686,-2.456313,-0.8897041,-0.2220914,259.0975,-652.993
0,26,4.886083,-190.2027,424.8899,142.971,-5.37189,-0.1311168,-7.071274,0.8491158,-1.601619,-0.6460274,192.7005,-446.6004
0,27,18.21457,-71.09596,-129.74,-14.57879,1.708604,0.6499076,-8.721219,16.05528,29.59447,2.519561,723.131,-3494.625
0,28,4.956166,148.9404,100.7939,42.04708,-2.633257,-0.2574898,8.459451,-5.161528,-3.190406,-1.736372,194.6848,-808.3635
0,29,7.190746,20.17355,-418.9035,-247.5635,8.856788,0.1011224,0.6701397,-0.07140677,1.817864,1.357881,283.6821,-587.4933
0,30,6.442823,-126.3863,-225.4839,225.5074,-7.764209,0.1040924,-4.368179,0.6741636,1.676622,-2.151293,255.6988,-690.9561
0,31,8.28174,-12.20797,29.14759,-304.588,8.876092,-0.03709774,-0.2281993,0.1505948,-0.7680846,4.778203,326.4598,-959.3543
0,32,0.7885056,210.7244,-179.0356,-370.8646,7.694652,0.04839277,4.422182,-0.1240123,0.09539493,0.1958503,31.0536,-65.61858
0,33,13.80499,228.6635,-397.9791,147.1976,-4.781072,0.1240726,7.451108,-2.477931,4.282053,-2.69633,541.1076,-1156.187
0,34,6.606062,-428.9576,-226.6408,100.8817,-1.997578,0.04680889,-8.664567,1.737519,0.7730563,-0.6014912,261.1615,-545.2819
0,35,1.193664,259.0713,269.4977,149.6471,-4.439556,-0.09287412,7.686551,-0.2661013,-0.2771513,-0.1658959,47.03116,-109.4944
0,36,19.15376,148.207,127.6499,-34.15179,1.862861,-0.282057,8.693803,-15.943,-13.50613,4.25499,757.838,-2902.923
0,37,3.477629,22.58568,16.58005,236.9119,-8.89402,0.0004472389,0.6822417,-0.582828,0.003888328,-2.546855,138.3558,-485.397
0,38,4.502194,353.9381,286.7487,170.3087,-3.861444,-0.0641792,7.995234,-0.9378073,-0.7223682,-0.4694147,177.4734,-349.5807
0,39,3.820158,341.8255,57.66238,264.1555,-5.495676,0.009501419,7.047719,-1.181443,0.0907423,-0.2287753,152.5635,-336.7414
0,40,12.90011,377.5974,115.3279,-197.5586,4.08172,-0.03672023,7.899184,-3.248663,-1.184237,2.09777,509.9341,-1107.781
0,41,9.230764,-93.05217,64.63981,164.0629,-7.602385,-0.1289658,-4.606052,4.695174,-2.976133,-8.56216,364.7472,-1444.543
0,42,7.865683,-413.5427,-167.1101,-173.8736,3.499126,0.03683644,-8.153933,2.398619,0.7243593,1.171239,309.6399,-681.4831
0,43,16.63129,-15.62336,-39.75409,76.57117,-8.510543,0.9245818,-3.180031,10.92322,38.44247,-74.96062,693.4981,-4701.926
0,44,4.595467,-11.71852,102.3038,210.8509,-8.840343,-0.1150233,-0.6867406,0.3869755,-1.321465,-3.938532,180.6857,-655.3005
0,45,23.32214,-126.1692,364.9517,215.059,-7.685566,-0.2074718,-4.328386,2.160239,-12.09671,3.298114,907.7662,-2318.042
0,46,14.36225,-273.9572,-318.8281,89.08058,-2.744359,0.09672451,-8.437969,3.792127,3.472953,-0.969744,565.4429,-1349.342
0,47,5.574975,-222.3984,-254.9922,16.52315,-0.687147,0.1171496,-8.847587,1.556871,1.632765,-0.0404347,219.5584,-628.1879
0,48,7.223583,291.3192,-310.8032,23.32322,-0.7823775,0.08571077,8.833905,-3.271057,1.547847,-0.4768738,284.0939,-702.965
0,49,8.209332,208.888,57.08782,-200.8535,6.076075,-0.04384742,6.476152,-3.225936,-0.899895,3.090014,323.6987,-951.2628
0,50,14.53184,321.7591,84.67571,312.9059,-6.221994,-0.03160433,6.319965,-2.946658,-1.148173,-3.463667,571.5096,-1181.343
0,51,4.018899,191.0933,-380.7454,-176.7257,6.053847,0.1050893,6.507162,-0.6464694,1.055859,0.7054039,158.7531,-349.1673
0,52,12.98263,181.4003,137.6922,-384.9854,8.012434,-0.04444321,3.827898,-1.701756,-1.442474,3.562461,511.8654,-1084.722
0,53,6.656826,27.23307,55.41722,101.2376,-8.811191,-0.539573,1.642834,-5.304034,-8.979609,-15.87937,268.3604,-1504.604
0,54,2.369891,-132.5831,-423.795,146.4196,-6.671551,0.1389175,-5.917,0.1062995,0.8230483,-0.4502702,94.2503,-209.5988
0,55,15.75688,-101.8619,203.8287,-305.3995,8.434412,-0.07887987,-2.758411,1.632969,-3.107251,5.678463,620.4613,-1540.076
0,56,1.807331,303.2,-229.1982,38.54417,-1.171526,0.0589424,8.78181,-0.6948829,0.266321,-0.1823985,70.93423,-186.5416
0,57,7.508535,28.48055,-355.1552,-69.623,9.136353,-0.4944159,3.924484,14.09519,-9.280848,18.77782,372.1192,-978.31
0,58,5.794868,-174.7923,78.31253,-6.120674,0.5557796,-0.1728772,-8.854365,6.156067,-2.504501,0.3673737,228.1398,-948.4916
0,59,8.258164,-117.5441,377.4085,39.07576,-3.015157,-0.1309276,-8.320799,0.5377507,-2.703054,0.4732703,323.4889,-869.8951
0,60,8.45063,357.5912,15.18022,-278.6331,5.417081,0.006104476,7.046082,-2.029807,0.1289667,1.772962,333.7664,-707.7584
0,61,10.18865,-304.7988,-34.9806,-276.84,6.023309,0.03807814,-6.491676,2.782171,0.9699125,3.395246,399.5153,-979.8464
0,62,7.919515,-251.3009,-76.15171,366.5596,-7.303208,0.01721311,-5.07392,1.215847,0.3407988,-2.200759,313.1447,-670.5273
0,63,12.15258,330.2894,-233.3555,192.8383,-4.511999,0.0544669,7.643087,-3.211833,1.654783,-2.047105,478.6772,-1041.344
0,64,5.837357,-136.6375,-22.97997,34.43791,-1.604325,0.1276892,-8.790273,11.42509,1.863419,-3.45068,233.0829,-1168.778
0,65,10.88466,-436.4991,-221.5393,-38.75229,0.8294817,0.05130732,-8.852645,3.15542,1.396157,-0.01817791,430.2706,-913.4565
0,66,6.596225,415.0959,82.49665,-68.7774,1.398951,-0.006734899,8.740761,-2.083957,-0.1110623,-0.1311605,258.4335,-588.5682
0,67,20.63861,18.19465,-62.80011,-217.4394,8.803305,0.08951107,0.9258268,-2.956463,4.618461,16.97054,808.6553,-2930.939
0,68,13.94932,-395.7511,71.74377,163.959,-3.347132,-0.01876556,-8.235441,4.182417,-0.654417,-2.074818,551.1805,-1243.528
0,69,3.85205,139.3412,-213.9595,71.14439,-4.003426,0.1934865,7.925339,-1.402515,1.8633,-0.7094179,151.9169,-505.1915
0,70,7.176889,-165.2037,-271.6573,-252.0196,7.428152,0.09716433,-4.845681,1.05516,1.743344,1.974756,282.294,-685.6678
0,71,11.03974,-78.92248,-114.7973,-177.2664,8.183223,0.1876891,-3.492753,3.804811,5.180097,7.379975,437.1719,-1605.549
0,72,2.77738,10.81794,424.6373,46.61575,-8.536242,-0.1459866,2.648112,-0.4137829,-1.013651,-0.0007111132,110.9581,-261.7822
0,73,13.01076,-307.4821,-205.7356,-128.1449,3.425618,0.05157337,-8.187843,3.151792,1.677522,1.476585,512.4828,-1324.549
