time,index,mass,x,y,z,vx,vy,vz,fx,fy,fz
0,0,2.888825,233.991,-132.6176,75.43562,-2.727654,0.005352136,8.452006,-1.278114,0.7730692,-0.3273329
0,1,4.090238,91.09188,355.951,-20.40534,1.955606,-0.006797853,8.662735,-0.4332574,-1.390242,0.1067161
0,2,6.926549,38.06218,-72.3838,-236.2986,8.766109,0.00513642,1.418668,-0.9043958,1.778883,4.470163
0,3,12.67984,-329.208,-160.4661,268.1462,-5.607157,0.002627258,-6.886662,2.656317,1.665661,-2.15069
0,4,6.065872,25.7939,-392.7637,158.3244,-8.762194,0.00492672,1.435109,0.4079834,1.494243,-0.7855815
0,5,10.68153,-221.1043,255.0063,-362.3652,7.581333,-0.002755058,-4.625079,1.264281,-1.471412,1.992726
0,6,5.718233,431.4728,58.92559,-141.4922,2.763942,-0.001093763,8.43956,-1.886277,-0.3127196,0.6003392
0,7,13.03827,-90.11349,-81.46858,-402.196,8.666632,0.002597296,-1.938704,1.062864,1.693213,4.330815
0,8,6.412124,-155.0687,-169.326,313.241,-7.95819,0.002737054,-3.94229,0.8491051,0.8775163,-2.034182
0,9,6.824078,-104.5001,-147.9116,105.7272,-6.314286,0.0132054,-6.244456,3.176911,4.505734,-3.130378
0,10,8.089885,-160.6951,-230.9301,261.6815,-7.567239,0.00494895,-4.647459,1.27004,2.001822,-1.867378
0,11,13.44333,-439.4831,10.22136,-4.280243,0.08761781,0.001352901,-8.877568,3.171389,0.909375,1.837289
0,12,16.03791,-194.8233,343.8013,120.2999,-4.668867,-0.005498136,-7.554265,2.268016,-4.40893,-1.329102
0,13,6.443859,84.281,20.82592,4.556965,-0.5623682,-0.02505749,8.862947,-32.72252,-8.073347,-1.861359
0,14,3.555339,-457.8172,61.01687,125.068,-2.339502,-0.005246753,-8.573266,0.7119284,-0.9326994,-1.310053
0,15,6.626979,-411.6566,-144.6003,155.5717,-3.137891,0.002817003,-8.307489,1.626401,0.9334111,-0.497457
0,16,15.85179,-301.6991,-15.32249,-120.3318,3.293583,0.0004644233,-8.247404,6.411444,0.3680971,2.5202
0,17,3.574147,-153.8523,-302.6053,-321.8737,8.012285,0.003650147,-3.829894,0.3172042,0.6523082,0.7055116
0,18,7.237541,177.2715,279.8138,364.8709,-7.987819,-0.002275248,3.879495,-0.6097596,-0.8233599,-1.761943
0,19,3.900583,-199.3787,402.7256,-100.4978,3.993504,-0.005081911,-7.931639,0.4964056,-0.9911206,0.3437919
0,20,5.644091,17.93763,-445.1612,225.0124,-8.851819,0.00569827,0.7096124,0.06381021,1.608078,-0.8658763
0,21,9.788242,99.31992,204.8736,-172.3585,7.696046,-0.005505721,4.429477,-1.226955,-2.694566,1.180667
0,22,8.754353,-132.8895,27.11128,343.1599,-8.281245,9.122768E-05,-3.210149,0.7502119,0.03993196,-3.129461
0,23,25.48513,341.8049,33.38608,-75.41758,1.90997,-0.0003182277,8.672388,-10.04937,-0.4055038,1.606174
0,24,6.068646,-246.9516,2.400574,-321.0273,7.041035,-0.0001291983,-5.41165,1.348525,-0.03920292,1.878474
0,25,1.822984,177.3657,160.8951,-364.682,7.984656,-0.002054955,3.886607,-0.2987086,-0.1873075,0.5419016
0,26,0.6365975,152.0435,390.9404,117.2775,-5.419529,-0.005513824,7.03659,-0.06569669,-0.1755043,-0.009269698
0,27,10.08378,-169.7755,99.98328,339.8825,-7.943872,-0.002968868,-3.970552,1.341514,-1.49687,-2.926094
0,28,3.958997,-70.903,223.5793,358.9477,-8.712411,-0.003428853,-1.721926,0.151932,-0.6787409,-1.030352
0,29,20.95458,104.4158,227.8136,-244.3151,8.169007,-0.003004988,3.495874,0.5455248,-3.148413,11.81208
0,30,3.452233,-288.8752,18.47569,378.3968,-7.070848,-0.0007161144,-5.396578,-1.727524,-0.1236097,-1.791092
0,31,6.89341,101.8306,33.24755,441.2484,-8.653842,-0.0005922514,1.993134,-0.4752532,-0.2041316,-2.495903
0,32,12.95739,10.29959,111.7171,-139.5176,8.856547,-0.01555225,0.6611055,-0.5588102,-10.07583,12.0064
0,33,7.909642,-77.17691,21.37798,-226.8561,8.410705,-0.000830446,-2.853244,2.116651,-0.3284265,5.231399
0,34,22.29178,-320.5996,17.11683,364.9431,-6.668264,-0.000115743,-5.862098,6.373447,-0.1290058,-3.767408
0,35,20.03305,361.0119,-152.2778,93.27774,-2.22378,0.0023862,8.598596,-6.266749,2.390144,-0.7781404
0,36,2.218129,-5.033535,307.2961,304.4853,-8.87904,-0.004217185,-0.1458922,0.05750526,-0.4677131,-0.4748662
0,37,9.237575,-239.1877,278.6943,265.4057,-6.597109,-0.003873661,-5.945858,1.302712,-1.789162,-1.775215
0,38,7.053286,314.9594,200.0901,20.15793,-0.567993,-0.002400647,8.862122,-2.032077,-0.8466227,-0.2647843
0,39,4.85235,-271.2731,255.0731,176.6514,-4.845623,-0.003957261,-7.441451,1.109957,-0.9601008,-0.5381854
0,40,5.438264,-17.37692,302.3643,-214.9574,8.852803,-0.006948318,-0.7185435,0.4307767,-1.88934,1.174138
0,41,27.41058,149.0244,381.0727,245.4214,-7.588719,-0.004837336,4.611339,-0.9924533,-6.629709,-3.641575
0,42,1.421999,-100.5329,-191.2172,-93.75807,6.053362,0.01383217,-6.496862,0.341987,0.9834669,0.3961067
0,43,5.110322,-201.0224,-199.7642,-246.7428,6.885821,0.004520599,-5.608091,1.011886,1.155086,1.27318
0,44,6.455717,-328.822,35.38603,-173.6856,4.151233,-0.002238226,-7.849508,2.330581,-0.7224678,1.623284
0,45,10.91196,-116.2628,386.6099,-28.17823,2.080835,-0.006209634,-8.633254,0.9987012,-3.387963,0.3565982
0,46,3.30534,-453.1823,-65.48669,163.2105,-3.006987,0.00162358,-8.356791,0.8617739,0.2683241,-0.4223436
0,47,0.3697559,321.2126,39.36668,-133.0482,3.396296,-0.001212399,8.209706,-0.1171456,-0.02241459,0.1245472
0,48,21.48356,312.3593,-238.0624,224.4387,-5.183419,0.003008413,7.212247,-5.069373,3.23157,-2.321912
0,49,7.317203,-322.2725,-101.4519,-65.87384,1.78151,0.003997444,-8.700431,2.828726,1.462505,0.4802487
0,50,4.675468,-8.6417,-81.24182,-359.0868,8.876916,0.003116784,-0.2109552,-0.2559357,0.7286212,1.658139
0,51,3.73337,-65.9985,-349.4537,276.8352,-8.638734,0.004764474,-2.058215,0.2124551,0.8893771,-0.7720771
0,52,6.77369,-123.7563,4.629357,-387.9706,8.462921,-0.0003597778,-2.695638,1.160134,-0.1218512,2.326431
0,53,8.485077,-475.2638,79.61472,-1.996703,0.0401886,-0.003764078,-8.878329,2.629047,-1.596925,0.9728941
0,54,5.145841,-155.4257,-427.3614,-39.93762,2.20272,0.005699009,-8.602354,0.5376039,1.46631,0.3492254
0,55,3.696998,-60.45963,-95.78403,53.85793,-5.89798,0.0382294,-6.63919,4.374645,7.0667,-3.877748
0,56,5.937593,-134.864,-166.8426,-116.3469,5.802145,0.01026763,-6.722855,2.337752,3.048251,2.12418
0,57,5.79423,292.3626,27.18457,-180.2814,4.658341,3.161433E-05,7.561976,-1.962628,0.009159035,1.536372
0,58,1.783494,-212.157,117.7912,411.3892,-7.892078,-0.002286191,-4.073405,0.2137432,-0.2038703,-0.5340388
0,59,1.43473,-147.0609,-160.62,413.3509,-8.366548,0.002118004,-2.979171,0.1137262,0.1519382,-0.4157081
0,60,1.978794,17.97653,-289.8287,-1.03113,0.5941357,0.01055707,8.862127,-0.1847372,1.044514,0.1446652
0,61,20.43282,-96.79646,-331.9185,103.9949,-6.506899,0.009851766,-6.048831,1.234527,10.06497,-6.522349
0,62,2.751312,-260.0368,-9.223903,-267.7214,6.373142,0.0005167652,-6.185753,0.7886074,0.0710891,0.6577025
0,63,13.89604,123.029,-399.0828,185.5402,-7.400063,0.005142267,4.911675,-1.800298,3.572856,-1.377491
0,64,9.848838,216.0256,-298.1784,-329.5622,7.427308,0.003037152,4.868321,-1.056499,1.495621,1.553908
0,65,14.67744,104.1436,34.72739,356.2202,-8.524942,-0.001280255,2.489567,-1.658358,-0.9395434,-4.792325
0,66,23.1293,-469.9275,29.64157,86.50567,-1.605129,0.000142528,-8.737019,6.809236,0.1648287,-4.253847
0,67,9.228796,-311.9888,347.6872,-108.0704,2.905799,-0.003737783,-8.391689,1.643745,-1.724762,0.6373969
0,68,5.993539,214.4709,255.9829,247.7944,-6.714303,-0.0008867666,5.811606,-0.7805013,-0.2657435,-1.15833
