time,index,mass,x,y,z,vx,vy,vz,fx,fy,fz,ke,pe
0,0,9.387057,324.4482,24.83191,373.2113,-2.112513,0.4038921,1.805777,-0.9894493,-0.07569383,-1.137901,37.01632,-373.7911
0,1,1000,3.957797E-07,3.027753E-08,4.551605E-07,1.978899E-05,1.513877E-06,2.275802E-05,0.9894493,0.07569383,1.137901,4.559117E-07,-373.7911
1.002398,0,9.387057,322.282,25.23166,374.9552,-2.217579,0.3957608,1.684246,-0.9832946,-0.07694802,-1.143743,37.13035,-373.8476
1.002398,1,1000,0.000523692,4.036785E-05,0.0006045477,0.001006054,7.78437E-05,0.001163585,0.983295,0.07694806,1.143743,0.001186067,-373.8477
2.000674,0,9.387057,320.0111,25.62322,376.5772,-2.322019,0.3874933,1.562056,-0.9776793,-0.07824755,-1.150235,37.46348,-374.0148
2.000674,1,1000,0.00203021,0.0001576828,0.002352561,0.00198644,0.0001554506,0.002310584,0.9776796,0.07824757,1.150235,0.004654453,-374.0148
3.001835,0,9.387057,317.6361,26.00644,378.0766,-2.425889,0.3790848,1.439139,-0.9725906,-0.07959548,-1.157393,38.01649,-374.293
3.001835,1,1000,0.004514345,0.0003532759,0.005250999,0.002961481,0.0002343814,0.003464413,0.972591,0.07959551,1.157393,0.01041373,-374.2931
4.002801,0,9.387057,315.1574,26.38117,379.4527,-2.529247,0.37053,1.315423,-0.9680175,-0.08099509,-1.165236,38.7907,-374.683
4.002801,1,1000,0.007971017,0.0006284961,0.00930704,0.003931697,0.0003146862,0.004625748,0.9680179,0.08099513,1.165236,0.0184774,-374.6831
5.001009,0,9.387057,312.5757,26.74728,380.7047,-2.632144,0.3618231,1.190832,-0.9639504,-0.08244982,-1.173784,39.78788,-375.1856
5.001009,1,1000,0.01239566,0.0009847445,0.01452854,0.0048976,0.0003964185,0.005795285,0.9639511,0.08244988,1.173784,0.02886448,-375.1858
6.002884,0,9.387057,309.8913,27.10459,381.8316,-2.734635,0.3529581,1.065292,-0.9603814,-0.08396333,-1.183059,41.01043,-375.8021
6.002884,1,1000,0.01778423,0.001423477,0.02092407,0.00585969,0.0004796353,0.006973739,0.9603821,0.08396338,1.18306,0.04159952,-375.8022
7.000401,0,9.387057,307.1045,27.45296,382.8324,-2.836772,0.3439285,0.9387232,-0.9573033,-0.08553952,-1.193088,42.46124,-376.5339
7.000401,1,1000,0.02413315,0.00194621,0.02850291,0.006818461,0.000564397,0.008161849,0.9573042,0.0855396,1.193089,0.05671287,-376.5341
8.001229,0,9.387057,304.2158,27.79221,383.7061,-2.938607,0.3347273,0.8110437,-0.954711,-0.08718257,-1.203897,44.1438,-377.3827
8.001229,1,1000,0.03143936,0.00255452,0.03727512,0.007774404,0.0006507687,0.009360385,0.9547119,0.08718267,1.203898,0.07424083,-377.3829
9.001056,0,9.387057,301.2254,28.12216,384.4515,-3.040194,0.3253473,0.682169,-0.9526004,-0.08889692,-1.215518,46.06221,-378.3506
9.001056,1,1000,0.03970027,0.003250051,0.04725152,0.008727998,0.0007388197,0.01057014,0.9526014,0.08889701,1.21552,0.09422582,-378.3509
10.00128,0,9.387057,298.1335,28.44266,385.0674,-3.141581,0.3157806,0.5520107,-0.9509686,-0.09068748,-1.227986,48.22115,-379.4402
10.00128,1,1000,0.04891379,0.004034522,0.05844375,0.009679727,0.0008286232,0.01179194,0.9509696,0.09068757,1.227988,0.1167168,-379.4404
