time,index,mass,x,y,z,vx,vy,vz,fx,fy,fz
11.35276,0,21.04313,87.99593,135.4404,283.3279,-10.50091,-0.003457454,3.260502,-2.255485,-3.637783,-9.19445
11.35276,1,10.45612,212.9345,60.77939,-210.4765,7.985125,-0.001557369,8.081068,-4.042149,-0.8142017,3.729605
11.35276,2,2.568857,162.9868,288.4153,-333.2897,8.228918,-0.003495756,4.024246,-0.2871947,-0.4490048,0.5197597
11.35276,3,0.9111144,113.1319,223.857,254.741,-9.597284,-0.005515936,4.263817,-0.08748152,-0.2512825,-0.2822396
11.35276,4,3.901239,46.09621,-80.37181,-93.48048,15.53326,0.0292311,7.63537,-3.189634,5.701877,6.201035
11.35276,5,5.166315,-475.5724,5.608716,54.94059,-1.034336,0.001205032,-9.013469,2.737831,0.3112786,0.423589
11.35276,6,11.80047,-75.34831,315.2152,-362.5704,8.815722,-0.003744632,-1.831945,0.0858229,-2.209421,2.687554
11.35276,7,4.946388,-5.595703,242.7714,-94.89108,12.27399,-0.0108919,-0.7507213,-0.272988,-2.693778,1.239781
11.35276,8,6.763356,-324.3247,40.4298,-331.7161,6.581421,0.001078231,-6.431179,1.417567,0.3646231,1.555962
11.35276,9,6.520255,239.4884,267.7485,-86.99717,3.530751,-0.00689666,9.70867,-1.23351,-2.248399,1.052105
11.35276,10,6.202743,285.7198,169.8484,36.4435,-1.373316,-0.002977084,10.77192,-2.30923,-0.9233043,-0.4080694
11.35276,11,19.46078,28.078,-23.16059,-259.5814,12.1944,0.001814602,1.319426,-1.051552,1.765679,11.55496
11.35276,12,8.938648,33.7779,-329.4749,110.5651,-10.15909,0.007505176,3.12107,-0.6501106,3.354306,-1.135901
11.35276,13,18.2689,-112.9883,274.7065,-155.8816,8.774639,-0.00688391,-6.368845,2.924755,-6.288072,3.718178
11.35276,14,2.099226,169.0325,68.25414,9.600734,-0.8304369,-0.007794089,14.6741,-2.357721,-0.8180779,-0.1328668
11.35276,15,5.814528,-306.5819,-100.9059,-39.58178,1.410254,0.003946718,-10.92115,2.326242,1.147415,0.3827372
11.35276,16,2.752347,-194.4654,30.78301,-411.7901,8.405575,0.0001970412,-3.966526,0.3362808,0.02711628,0.825492
11.35276,17,10.93262,-165.6138,187.1773,-355.694,8.634094,-0.002462799,-4.018528,1.044533,-1.346242,3.159679
11.35276,18,10.18774,-37.05229,218.1091,28.60646,-8.182465,-0.01647485,-10.47983,1.160495,-8.392077,-1.118726
11.35276,19,2.300695,-27.87659,-26.09081,-323.3015,10.96747,0.00127403,-0.9425941,0.3385316,0.1465578,1.186416
11.35276,20,7.236913,-280.084,-24.23587,-159.599,5.46944,0.001911561,-9.594736,2.898662,0.69169,1.78582
11.35276,21,7.089641,-338.0338,-202.1156,-197.2704,4.770056,0.002977388,-8.171165,1.803538,1.055431,1.044979
11.35276,22,2.734292,3.228982,-98.56509,-219.0139,12.8125,0.008647772,0.1859827,0.09012155,1.182277,1.652502
11.35276,23,9.518389,4.975756,-338.1672,17.38729,-10.3385,0.008353569,3.092816,-0.1227904,3.975626,0.1702449
11.35276,24,5.124485,45.25648,119.457,157.9322,-13.39149,-0.0112585,3.845771,-1.028449,-2.8847,-3.863726
11.35276,25,6.471084,46.95692,-12.67173,-324.0978,10.85439,-0.0003076912,1.577145,-0.8156532,-0.0995548,3.741908
11.35276,26,4.521146,64.81585,-180.6536,320.1961,-10.06954,0.001503698,2.039628,0.5758404,0.339922,-1.314446
11.35276,27,7.160092,-309.8476,-276.6183,194.5384,-4.941374,-0.002166131,-7.857194,-2.504831,-0.775485,-2.470875
11.35276,28,15.05446,412.4065,-16.83982,175.6902,-3.675402,0.002479749,8.624555,-3.280432,1.866564,-2.015677
11.35276,29,4.610919,33.07718,266.8253,395.3408,-9.049706,-0.003271072,0.7563308,0.01925129,-0.7541326,-1.156182
11.35276,30,5.55464,127.785,293.8636,241.56,-8.760191,-0.005960851,4.636635,-0.3219414,-1.655519,-1.393937
11.35276,31,17.0076,75.98965,-45.34064,410.2216,-9.530245,-0.0003712777,1.764519,0.3111753,-0.3157272,-4.691452
11.35276,32,0.7928498,70.83305,252.4215,-394.1665,8.982321,-0.002955982,1.614954,-0.05405414,-0.1171825,0.1895823
11.35276,33,1.58617,434.006,-8.922646,229.6322,-4.193367,0.0008616224,7.915317,-0.4372087,0.06833398,-0.5344965
11.35276,34,4.417088,-42.18591,299.5738,-162.1906,10.36788,-0.008305401,-2.706131,-0.3572544,-1.834284,1.13663
11.35276,35,20.46059,-249.461,-26.66304,250.6274,-7.472896,7.541128E-05,-7.441401,5.526115,0.07714796,-6.937381
11.35276,36,15.71552,302.8437,223.7759,189.5423,-5.132563,-0.00136329,8.197135,-4.629224,-1.071241,-3.099281
11.35276,37,11.48331,-222.0681,68.37073,-143.5524,6.523244,-0.002766676,-10.09094,5.321064,-1.588531,3.422237
11.35276,38,25.30619,-354.1077,51.2919,99.56226,-2.787739,-0.001269251,-9.91833,8.64037,-1.605995,-0.4655146
11.35276,39,13.70208,315.7062,-254.5216,59.20683,-1.807038,0.004173161,9.64141,-3.328665,2.85905,-0.5346519
11.35276,40,11.2027,-5.802394,-473.0786,-127.6231,8.96066,0.005082623,-0.4190109,-0.06715463,2.846956,0.5614615
11.35276,41,5.013844,5.834564,-295.4384,229.7263,-10.2607,0.006069957,0.2651883,0.007556121,1.521691,-1.149319
