time,index,mass,x,y,z,vx,vy,vz,fx,fy,fz
0,0,7.401103,54.11188,-67.30793,-118.7267,-352.6009,536.1898,803.5541,-135654.9,198419.8,295012
0,1,2.500982,-1.334441,-127.8851,278.9819,12.01789,558.2804,-1184.984,2863.396,69812.47,-148174.1
0,2,3.938158,-124.2635,114.3828,271.6849,517.313,-442.7596,-1121.709,103774.1,-87182.86,-219998.8
0,3,1.919163,121.5457,-194.2712,-30.0219,-607.8008,1026.838,115.3042,-58603.86,98533.53,9904.697
0,4,2.423321,-275.9123,-174.1421,36.84035,1094.362,695.4476,-200.2868,132773.1,84264.64,-23002.01
0,5,2.213063,300.4256,74.75172,298.2598,-957.4714,-204.5836,-987.684,-105222.8,-22637.83,-110018.4
0,6,0.7547769,-19.56006,312.747,285.8846,96.71197,-995.3327,-962.5303,4001.453,-37562.71,-36300.01
0,7,1.843383,129.872,-73.29426,-111.4645,-762.5836,491.3737,623.0151,-71110.48,45289.5,56458.04
0,8,2.502022,155.0684,67.01719,31.42941,-960.8218,-380.9624,-232.507,-119837.4,-47658.82,-30837.96
0,9,8.024679,-303.6462,-89.34348,148.6776,1136.166,344.435,-604.2317,457683.3,138199,-238753.8
0,10,3.995078,164.0364,198.5015,158.162,-655.1217,-807.7836,-695.5523,-129335.2,-161357.9,-140512.2
0,11,2.636103,121.5142,167.9328,219.9676,-468.4155,-678.7982,-952.989,-60470.86,-89469.09,-126303.5
0,12,5.362745,124.4272,-183.8319,-262.4952,-460.7361,744.6067,961.1141,-126042.4,199656.8,256523.7
0,13,2.242287,-399.1027,-19.37546,-222.0477,1249.881,70.08901,635.4911,139640.1,7857.985,72131.98
0,14,6.47279,71.14182,348.5361,-73.70747,-208.4714,-1271.46,246.5702,-69821.45,-411494.7,77547.52
0,15,4.170743,244.7032,37.67142,25.55935,-1161.178,-132.105,-150.285,-241882.8,-27548.8,-33834.73
0,16,3.094168,177.4952,322.1078,-56.08429,-605.8941,-1153.163,187.3108,-94200.11,-178404.1,27510.62
0,17,2.25832,-0.2526469,-104.863,183.9981,7.041411,601.7075,-1038.092,2255.36,67942.41,-117214.4
0,18,2.611553,-365.7671,-128.0331,179.8547,1181.228,428.6307,-624.6463,154780.2,55969.61,-80475.31
0,19,4.807058,117.9415,325.5928,36.71542,-404.4279,-1219.122,-164.3261,-96458.91,-293019.5,-41848.24
0,20,6.865618,107.8504,-239.899,-352.8929,-327.1155,803.5555,1085.842,-115306.5,275845.3,371828.6
0,21,2.076047,-270.6751,53.35106,297.5922,911.4909,-175.1643,-1032.209,95347.88,-18182.47,-106480.4
0,22,8.886975,139.0376,-43.67138,-418.2846,-424.1398,172.4016,1305.876,-192326.3,76606.45,578983.1
0,23,1.504099,-322.9911,-175.153,12.68049,1183.371,643.1012,-95.53379,89027.02,48364.41,-6433.517
0,24,3.353884,-308.4487,65.72311,-232.1518,1095.91,-217.4432,752.054,182802.5,-36463.96,127418.4
0,25,2.320906,-283.6674,-9.498693,-159.2433,1152.858,46.25531,576.6099,133185.6,5367.71,67987.19
0,26,3.804878,-119.414,16.35216,-404.3145,433.6612,-26.18935,1290.614,80792.88,-4982.364,246040.2
0,27,6.854604,96.63617,118.6938,-28.74487,-621.2424,-790.7053,164.7826,-214364.1,-270998.6,51555.35
0,28,3.466347,-298.9111,50.86422,-35.5872,1257.657,-207.1591,97.35181,217756.1,-35904.27,18752.4
0,29,6.702558,56.3965,79.20207,-343.0957,-175.7095,-275.8177,1244.257,-62244.4,-92434.2,416438.4
0,30,2.840055,-209.6732,44.21242,-117.7934,1059.517,-206.7712,514.9492,149619.2,-29362.07,74629.24
0,31,3.969004,-74.58849,-56.89068,196.998,405.843,321.4593,-1087.877,82907.75,63793.67,-214994.1
0,32,0.9551312,176.4305,73.63824,142.3029,-856.4339,-317.3211,-736.8747,-40531.04,-15154.17,-35645.78
0,33,4.364833,-134.1361,86.33779,16.96439,930.5678,-566.4808,-184.0737,203518.4,-123629.7,-36993.2
0,34,4.208878,-64.57375,370.565,-268.9883,240.7458,-1131.544,783.1692,48829.98,-238126.5,165260.1
0,35,3.348048,-298.2742,-239.508,-75.8079,1059.955,837.4493,205.7776,177044.1,140191,36026.37
0,36,2.532711,-221.1265,167.9821,0.8278476,1010.669,-746.2372,-62.49017,127999,-94500.15,-6468.457
0,37,5.599824,-327.2611,-133.5191,265.2101,1022.932,429.133,-876.2307,288029.6,120153.5,-243347.3
0,38,1.357111,-356.8672,261.9302,44.51095,1127.397,-813.5418,-186.7128,76578.34,-55203.33,-12054.85
0,39,4.365615,-185.4966,221.6483,274.0117,651.9569,-737.7264,-962.0437,144049.1,-161031.5,-208818
0,40,5.706718,-22.23391,-37.50886,238.4344,123.3024,207.9274,-1207.9,38634.84,59329.17,-344332.5
