time,index,mass,x,y,z,vx,vy,vz,fx,fy,fz
0,0,11.50491,-368.1029,-246.1814,225.4658,-4.651094,0.002398396,-7.597017,2.804585,1.379667,-1.475237
0,1,14.82651,2.027644,242.4027,-176.3926,11.47052,-0.006975336,0.1249558,1.701716,-5.170995,5.963791
0,2,9.139752,101.792,-106.4045,-289.2683,10.39641,0.001762387,3.663009,-1.518427,0.805389,5.390333
0,3,19.17953,319.1652,-236.1071,116.778,-3.354804,0.003647943,9.167048,-5.642561,3.498292,-2.09566
0,4,6.015656,179.7571,101.7481,-222.4428,8.864286,-0.004220941,7.165174,-1.886236,-1.269586,2.560252
0,5,1.840162,-70.93222,426.1707,182.4209,-8.548241,-0.005817479,-3.318392,0.1215626,-0.5352551,-0.2957703
0,6,12.45863,194.6763,-424.8332,81.62959,-3.519473,0.007332889,8.410961,-0.7339103,4.567886,-0.05991568
0,7,15.75362,12.18288,-135.6908,-201.4706,12.71706,0.008566332,0.7596363,4.7318,6.747536,5.596961
0,8,20.80526,400.718,-29.14852,-197.452,4.145849,0.0005487921,8.420069,-6.258701,0.5708881,3.130393
0,9,24.73685,52.24186,-136.0173,-233.9602,11.67302,0.006668595,2.607356,-4.065437,8.248001,15.26084
0,10,17.45935,12.18699,-155.3718,330.1833,-10.37619,0.002066164,0.3853818,7.764403,1.803694,-3.898311
0,11,9.184338,7.952565,81.62538,-354.0878,10.41344,-0.001983665,0.236015,-0.0466306,-0.9109323,3.794129
0,12,13.72852,309.0158,239.2071,25.35057,-0.8202333,-0.01163706,10.00776,-4.289589,-7.987978,4.148686
0,13,1.509066,53.79752,-271.3306,52.00103,-8.200285,0.009585076,8.535322,-0.06497922,0.7232255,-0.09450291
0,14,20.27607,189.0204,-15.91159,-161.4209,8.167789,-0.001970044,9.567476,-13.21339,-1.997237,7.625875
0,15,1.91262,77.18209,-147.6792,-81.91339,10.62325,0.01923841,9.975459,-0.8695186,1.839788,0.8690315
0,16,1.278996,172.1647,-440.5389,-49.11375,2.505503,0.006167632,8.75592,-0.09741806,0.3944188,0.09545653
0,17,30.28412,229.6661,165.9078,98.94656,-4.53273,-0.007511273,10.52849,-10.37498,-11.37361,-4.758945
0,18,2.907678,189.3823,160.7432,13.22885,-0.8697824,-0.008575124,12.5631,-1.322875,-1.246685,0.2878367
0,19,7.712602,-80.21461,-177.3006,206.5048,-10.98925,0.006133256,-4.263845,1.548246,2.365168,-2.732286
0,20,15.40032,-177.6676,-195.8923,-280.3353,8.544081,0.00473611,-5.414813,2.651666,3.64688,4.059694
0,21,14.93369,-35.96066,254.3281,167.2303,-11.09016,-0.007786694,-2.376549,1.64921,-5.814203,-4.97868
0,22,6.39899,-107.5872,-414.5483,-164.0471,7.750206,0.005231994,-5.091007,0.3737822,1.673974,0.4913679
0,23,5.230928,-127.9178,191.0256,-356.9652,9.072963,-0.00289036,-3.249827,0.6365687,-0.7559631,1.512582
0,24,5.36306,-21.7197,-381.2883,73.04649,-9.659296,0.007528294,-2.845614,0.2956775,2.018734,-0.254389
0,25,10.78921,253.9473,-131.8279,281.967,-7.363667,0.002642849,6.629241,-2.739556,1.425712,-2.734348
0,26,6.567781,164.8037,-40.4351,-178.1366,9.299224,0.007967357,8.602668,-0.9596568,2.616393,4.846481
0,27,6.230564,144.3853,-4.466128,345.7173,-9.468041,0.0002230176,3.950589,-1.171083,0.06947627,-2.542492
0,28,12.65129,-367.6718,-207.405,-186.2794,4.178783,0.003385753,-8.246613,2.775342,2.141708,1.164263
0,29,13.42534,247.037,-316.2065,46.05873,-1.807943,0.005204873,9.714561,-3.060275,3.49386,-0.2223493
0,30,5.552127,-425.8872,-37.59031,230.6177,-4.288028,0.0007884347,-7.923378,1.415525,0.2188745,-0.6101592
0,31,9.697033,218.8684,-381.0955,119.6737,-4.461158,0.004409561,8.163379,-1.62543,2.137983,-1.87381
0,32,5.307731,361.0081,280.1438,127.1061,-3.029795,-0.00480509,8.599157,-1.52529,-1.275206,-0.7572843
0,33,2.849466,46.81591,-463.7292,-121.8675,8.449732,0.005484396,3.23426,-0.04347301,0.78138,0.2246499
0,34,10.95119,48.14095,-153.0804,334.8574,-10.2107,-0.0017835,1.468526,-6.181941,-0.9765722,-2.270794
0,35,9.236867,240.8466,101.6955,120.3615,-5.232843,-0.001071572,10.47247,-4.341773,-0.4948985,-1.179695
0,36,7.136265,420.92,126.9831,-9.091352,0.2013761,-0.001363209,9.467922,-2.627978,-0.4864111,0.25009
0,37,2.569232,265.0676,301.1124,-138.0223,4.452684,-0.004734815,8.551429,-0.7093805,-0.6082419,0.3914844
0,38,13.36861,249.3557,63.99936,160.2243,-6.166914,0.003538744,9.593262,-6.476736,2.365404,-3.614754
0,39,9.180546,-168.7802,-157.4388,-179.8488,8.463957,0.005948798,-7.94691,2.939598,2.730661,2.350021
0,40,4.636537,66.6976,-311.34,70.71307,-7.98292,0.009207296,7.560672,-0.2843191,2.134498,-0.4569812
