time,index,mass,x,y,z,vx,vy,vz,fx,fy,fz
9.967962,0,16.37022,67.69727,371.0841,-64.91492,7.039804,-0.006190787,7.312203,-0.9288322,-5.067227,0.9998263
9.967962,1,10.5295,-234.1501,-264.4417,-276.5942,7.157277,0.002799296,-6.058368,2.479754,1.47376,1.56627
9.967962,2,8.039668,-279.86,-169.5667,-10.6722,0.4181032,0.004340066,-10.96674,3.41308,1.744635,0.1468954
9.967962,3,4.174603,-66.43456,131.8076,-105.5409,12.46776,-0.01803434,-7.868519,2.198978,-3.764311,2.939358
9.967962,4,7.714703,120.8991,202.5628,18.87071,-1.971902,-0.01228318,12.75677,-3.115877,-4.738053,-0.5705209
9.967962,5,13.25077,110.9974,-231.5216,230.9281,-9.618374,-0.01169125,4.641208,5.964105,-7.7459,2.552665
9.967962,6,15.56495,170.1271,-404.8696,-116.7769,5.276193,0.005758252,7.676256,-1.942939,4.481347,0.6425698
9.967962,7,4.052692,-152.6125,102.7053,170.635,-9.345148,-0.006149371,-8.356519,1.684788,-1.246075,-1.903327
9.967962,8,4.721352,117.9795,170.478,-183.3487,10.03929,-0.006460434,6.4563,-1.341766,-1.525099,1.934994
9.967962,9,3.782641,165.8353,-403.1521,-215.6,7.138716,0.005523784,5.488577,-0.4507122,1.044725,0.6252326
9.967962,10,1.630756,237.3773,-203.4645,150.78,-5.7142,0.00472772,8.996052,-0.5022258,0.3854878,-0.4361807
9.967962,11,6.351902,-124.2995,-102.7239,133.667,-10.04835,0.009947019,-9.339773,4.351894,3.159125,-3.506721
9.967962,12,18.09616,357.394,296.8097,7.767784,-0.2001747,-0.003549022,9.210189,-4.289742,-3.211183,-0.1670366
9.967962,13,17.48361,-146.0844,183.8176,-358.6328,8.882885,-0.003193756,-3.616838,1.792348,-2.79192,5.054945
9.967962,14,2.982993,287.4254,175.9107,-34.58445,1.28973,-0.004040332,10.71167,-1.069086,-0.602614,0.1034473
9.967962,15,2.419878,-20.65007,-455.07,-187.8528,8.884637,0.01924293,-0.9764051,-0.8029003,2.328277,1.149132
9.967962,16,15.15158,434.4988,37.45547,-100.236,2.107613,0.0003844018,9.147403,-4.862827,0.2912147,0.8828683
9.967962,17,8.418173,138.883,-304.2941,-242.7175,8.481632,0.004584746,4.849781,-0.03013326,1.929759,1.856218
9.967962,18,15.50426,303.5952,30.48744,-386.8624,7.036581,-0.0002454449,5.524532,-2.484156,-0.1902721,3.184111
9.967962,19,12.43576,-31.21979,-437.4544,-176.9611,8.993904,0.002775057,-1.595983,1.875191,1.725497,-0.2280252
9.967962,20,7.243407,148.0904,322.2415,-106.6488,6.034844,-0.005537699,8.369155,-1.788054,-2.005591,0.8705979
9.967962,21,9.91727,118.9558,73.35963,459.1831,-8.775726,-0.001329343,2.271775,-1.114951,-0.6591727,-2.30956
9.967962,22,6.667728,-200.3598,-243.9167,6.617723,-0.3747599,0.007731496,-11.16951,2.206343,2.577576,-0.09638704
9.967962,23,17.9261,305.0983,-170.8421,83.87003,-2.776857,0.003067457,10.09708,-7.013749,2.749378,-1.897806
9.967962,24,15.14205,-171.5275,-273.705,-370.701,8.127791,0.002575858,-3.759323,1.427056,1.950188,3.74846
9.967962,25,3.818849,-74.00672,378.1022,-10.89737,1.449205,-0.007159983,-10.01142,0.5292748,-1.367145,-0.1050739
9.967962,26,7.959467,-4.137416,-63.57937,144.0845,-15.81332,0.01058386,-0.4514908,0.808014,4.212095,-12.7713
9.967962,27,2.091751,70.66816,239.9909,-182.856,10.52482,-0.005610087,4.060035,-0.215126,-0.5867452,0.5902686
9.967962,28,11.45638,91.24011,464.221,-129.324,7.325652,-0.005799867,5.166821,-3.966887,-3.322276,3.439725
9.967962,29,4.085945,-29.73025,17.45955,226.5913,-13.005,-0.002253374,-1.708235,0.4475713,-0.460358,-3.4308
9.967962,30,8.816338,-204.4195,-84.16759,261.3903,-8.45269,0.002255502,-6.612414,2.568311,0.9942636,-2.763503
9.967962,31,2.884359,205.8245,342.7056,132.8764,-5.244794,-0.005199763,8.130686,-0.5358775,-0.7498991,-0.2586722
9.967962,32,13.28128,-290.4383,93.77056,153.4033,-5.017425,-0.001878631,-9.500906,4.524509,-1.247531,-2.37144
9.967962,33,20.88669,106.2975,272.4787,403.7931,-8.600873,-0.002909412,2.261744,-1.684647,-3.038399,-6.169291
9.967962,34,9.810897,-70.76037,-357.7619,293.9974,-8.91966,0.004270193,-2.147824,0.9259437,2.094721,-3.080494
9.967962,35,4.115637,116.9931,-239.7772,236.2731,-9.467428,0.06214951,4.631701,-9.156505,12.78924,-8.961676
9.967962,36,16.55942,118.834,-71.11528,-83.21716,8.965819,0.01179758,12.79449,-19.14661,9.768051,14.0282
9.967962,37,1.686194,109.2167,131.1438,-354.8422,9.563958,-0.002089508,2.945118,-0.1866873,-0.1761658,0.5391356
9.967962,38,3.972354,-3.634521,107.2672,-11.67093,18.06369,-0.06783819,-6.243883,0.6165587,-13.47387,1.276329
9.967962,39,1.193945,-289.5554,-228.5052,-116.5057,3.76876,0.004051486,-9.367159,0.3565241,0.2418626,0.1265498
9.967962,40,15.18572,-182.6223,326.5783,-117.085,5.408408,-0.005729328,-8.447621,2.520805,-4.350198,0.07796223
9.967962,41,13.09077,-101.9798,30.89748,-293.5638,10.6143,0.0009503968,-3.685341,1.578048,0.6220713,6.334691
9.967962,42,11.74316,214.4663,178.2022,209.6905,-7.43228,-0.00351417,7.601885,-3.095196,-2.063373,-2.970892
9.967962,43,8.43144,-222.8352,79.64159,-331.7611,8.17638,-0.005074005,-5.488056,5.532403,-2.139058,0.3497951
9.967962,44,10.93774,-427.0529,197.9897,3.681476,-0.07816598,-0.003440886,-9.151564,2.545869,-1.881775,0.3693877
9.967962,45,21.29973,79.25411,318.4939,-224.7992,9.390862,-0.005199409,3.307725,-1.72274,-5.537302,5.513642
9.967962,46,14.6028,42.10648,324.0542,80.22913,-9.573935,-0.006774411,5.049973,-0.2791467,-4.946269,-2.704857
9.967962,47,9.38493,229.3102,288.6835,231.5558,-6.762295,-0.004164976,6.697182,-1.811109,-1.9544,-1.657665
9.967962,48,10.29097,-29.68368,-173.6244,3.245205,-1.768678,0.02623687,-14.85523,3.192744,13.50014,0.06702811
9.967962,49,3.608948,-88.27585,365.8992,142.3438,-8.416035,-0.005783829,-5.210164,0.5034277,-1.043677,-0.5265136
9.967962,50,8.252999,53.85432,-177.6034,148.9031,-12.10203,0.01060031,4.387907,-1.276244,4.374217,-4.217891
9.967962,51,10.83932,-89.37346,298.9144,-145.7047,9.116721,-0.0065159,-5.603064,0.9115724,-3.531398,2.008194
9.967962,52,5.263644,92.89103,-23.29338,70.77586,-11.028,0.009489542,14.47534,-11.74581,2.497478,-8.828837
9.967962,53,10.06158,-85.68552,-202.2419,266.0047,-10.17659,0.005084217,-3.27703,1.294759,2.557762,-3.375341
9.967962,54,5.217662,-93.68052,-77.52146,167.5665,-12.04647,0.006082357,-6.734445,2.446996,1.586784,-4.481204
9.967962,55,11.26412,225.8345,46.28238,150.8918,-6.647719,-0.00186971,9.946445,-5.723466,-1.053032,-3.788924
9.967962,56,17.68008,101.373,-249.358,50.83708,-5.359968,0.01184052,10.73663,-3.783201,10.46706,0.2995839
9.967962,57,22.7487,-177.6911,-181.9293,428.3441,-8.217456,0.001953331,-3.410589,2.248903,2.221787,-5.228745
9.967962,58,10.53811,360.9129,-305.2519,-76.80539,1.888435,0.003390463,8.87574,-2.489947,1.786453,0.5862479
9.967962,59,15.28457,31.69551,32.43474,-151.482,15.45741,-0.006698894,3.234171,-4.750393,-5.119485,24.10929
9.967962,60,6.841938,-5.92928,-84.02648,75.72093,-18.60348,0.04478477,-1.404223,1.763731,15.32073,-13.35191
9.967962,61,7.880243,163.0993,413.4514,211.1996,-7.083228,-0.004964141,5.473595,-0.7234969,-1.955932,-1.0291
9.967962,62,7.061627,48.52926,-243.7462,179.5862,-10.94385,0.009770819,2.965221,0.09106193,3.449894,-2.296338
9.967962,63,3.541869,141.3573,13.76816,-461.373,8.641144,7.234977E-05,2.649674,-0.2503664,0.01281267,0.9340518
9.967962,64,6.583424,-356.298,295.3061,-2.121472,0.05437419,-0.003936515,-9.231071,1.380902,-1.295787,-0.07519478
9.967962,65,9.443072,379.872,110.5982,-107.6421,2.672285,-0.002247097,9.435225,-2.84223,-1.060975,0.6051149
9.967962,66,11.81498,61.4472,467.4413,-108.243,7.863126,-0.007455746,4.443897,2.842004,-4.404475,-1.200939
9.967962,67,6.207964,3.539793,-255.4844,-117.8125,11.83491,0.01060652,0.3365922,0.3111873,3.292246,1.4978
9.967962,68,2.112706,-64.24303,-362.475,271.4312,-9.039617,0.007817114,-2.123356,-0.2663572,0.8257632,0.9732584
9.967962,69,7.92691,27.42305,-98.71249,116.6286,-15.51273,0.02170399,3.663495,-3.012137,8.602278,-10.23133
9.967962,70,8.225111,91.6047,-100.071,-189.2773,11.71393,0.006414407,5.668777,-2.529755,2.63796,5.960952
9.967962,71,0.6940122,213.9964,-88.57536,-33.94278,2.032001,0.004850429,12.81885,-0.5772255,0.1683129,0.07761931
9.967962,72,11.64527,35.97949,-437.0253,-237.6634,8.791553,0.00489993,1.328076,-0.5267101,2.853052,2.126496
